price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors
3395000.0;44.066775;56.284469;50.0;0.0;9.0;2;4;10
3200000.0;43.867;56.331734;44.0;27.0;7.5;2;8;10
2630000.0;44.05870458;56.29337574;40.79;18.04;9.49;1;21;25
3250000.0;43.915814;56.338714;46.0;18.0;14.0;1;3;10
2850000.0;43.976737;56.313344;39.0;28.0;6.0;2;1;3
2500000.0;43.872919;56.29529;52.0;35.0;6.0;3;2;5
3600000.0;43.989817;56.321077;70.0;48.0;11.0;3;2;2
2300000.0;43.87344;56.313224;41.0;0.0;0.0;2;3;9
4600000.0;44.020934;56.263057;76.0;0.0;0.0;2;6;19
4900000.0;43.923377;56.335475;75.0;0.0;0.0;3;3;10
7022457.0;0.0;0.0;94.7;50.13;16.21;3;10;17
4864860.0;0.0;0.0;77.22;36.46;14.48;2;5;17
5478650.0;0.0;0.0;73.0;31.62;13.51;2;15;17
6110181.0;0.0;0.0;88.17;52.74;11.3;3;8;17
6513390.0;0.0;0.0;87.9;52.74;11.02;3;11;13
10882915.0;0.0;0.0;146.27;76.11;15.0;4;13;17
6357813.0;0.0;0.0;97.14;50.13;16.55;3;2;17
4935372.0;0.0;0.0;74.44;35.13;13.88;2;2;17
5257098.0;0.0;0.0;75.86;36.46;14.25;2;16;17
5573213.0;0.0;0.0;74.26;35.13;13.7;2;11;17
3754001.0;0.0;0.0;50.02;17.28;14.01;1;16;17
1650000.0;43.881983;56.301728;35.5;17.0;9.0;1;3;10
8600000.0;43.943823;56.344062;114.0;78.0;12.0;5;3;12
3800000.0;43.956552;56.334567;54.0;32.0;9.0;2;7;9
3250000.0;43.855851;56.264167;60.0;44.0;7.0;3;5;9
2649000.0;43.928336;56.273035;50.0;35.0;5.6;3;1;5
2050000.0;43.858726;56.232113;45.0;30.0;5.5;2;4;5
4800000.0;44.051208;56.288116;100.0;62.0;18.0;3;6;6
2550000.0;0.0;0.0;44.0;18.0;9.5;1;8;10
2200000.0;43.859283;56.29039;46.5;31.0;7.5;2;4;5
3485000.0;0.0;0.0;62.0;36.0;9.0;2;4;10
1980000.0;43.87088;56.344591;33.0;18.0;5.2;1;1;5
3300000.0;43.934597;56.298457;62.0;43.0;9.0;3;1;3
2150000.0;0.0;0.0;40.2;27.4;6.0;2;15;19
2790000.0;43.941577;56.314702;51.1;34.5;6.0;3;5;5
1650000.0;0.0;0.0;28.2;11.5;5.0;1;3;19
2736000.0;0.0;0.0;48.1;34.1;6.1;3;12;19
4970000.0;0.0;0.0;67.1;50.0;14.0;2;17;17
3620000.0;0.0;0.0;63.0;44.0;6.0;4;5;5
3499000.0;43.934597;56.298457;63.0;43.0;9.0;3;1;5
