price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors;pricePerSquare
1650000.0;43.881983;56.301728;35.5;17.0;9.0;1;3;10;46478.873239436616
8600000.0;43.943823;56.344062;114.0;78.0;12.0;5;3;12;75438.59649122808
3800000.0;43.956552;56.334567;54.0;32.0;9.0;2;7;9;70370.37037037036
3250000.0;43.855851;56.264167;60.0;44.0;7.0;3;5;9;54166.666666666664
2050000.0;43.858726;56.232113;45.0;30.0;5.5;2;4;5;45555.555555555555
2200000.0;43.859283;56.29039;46.5;31.0;7.5;2;4;5;47311.82795698925
1980000.0;43.87088;56.344591;33.0;18.0;5.2;1;1;5;60000.0
3300000.0;43.934597;56.298457;62.0;43.0;9.0;3;1;3;53225.8064516129
2790000.0;43.941577;56.314702;51.1;34.5;6.0;3;5;5;54598.82583170254
3499000.0;43.934597;56.298457;63.0;43.0;9.0;3;1;5;55539.68253968254
1660000.0;43.856444;56.299861;36.4;22.7;5.0;2;2;2;45604.395604395606
2800000.0;44.013721;56.260353;43.4;19.2;10.3;1;3;17;64516.12903225807
3520000.0;43.840687;56.305764;79.0;45.0;11.0;3;1;14;44556.962025316454
2800000.0;43.961762;56.233509;52.9;36.7;7.1;3;1;9;52930.05671077505
1750000.0;43.966317;56.233469;36.5;15.0;10.0;1;4;15;47945.20547945205
1760000.0;43.878354;56.270376;28.0;15.0;6.5;1;7;9;62857.142857142855
3600000.0;43.804961;56.367936;87.2;53.9;7.8;4;9;9;41284.40366972477
2450000.0;43.960352;56.231518;39.0;22.0;6.5;2;2;9;62820.51282051282
2500000.0;43.980474;56.259183;33.0;18.0;9.0;1;6;10;75757.57575757576
2600000.0;43.987005;56.282016;45.0;31.0;6.0;2;4;5;57777.77777777778
2700000.0;43.816388;56.361285;58.0;40.0;7.0;3;5;9;46551.724137931036
2200000.0;43.920754;56.335271;33.0;18.0;8.0;1;8;9;66666.66666666667
3350000.0;44.012149;56.263542;63.0;47.7;5.8;3;4;5;53174.60317460317
2950000.0;43.974357;56.260908;44.9;27.8;5.9;2;4;9;65701.55902004454
2850000.0;43.947111;56.226649;50.0;29.7;8.7;2;1;9;57000.0
4150000.0;43.946195;56.340515;56.0;30.0;10.0;2;6;17;74107.14285714286
1550000.0;43.911807;56.327291;31.0;17.0;6.0;1;1;5;50000.0
3180000.0;43.868688;56.352672;59.0;35.0;7.0;2;7;9;53898.30508474576
4100000.0;43.927114;56.340784;63.4;44.4;7.2;3;1;9;64668.76971608833
2390000.0;43.807962;56.362636;48.0;31.0;7.0;2;4;9;49791.666666666664
2090000.0;43.809516;56.367068;43.7;21.0;9.4;1;2;14;47826.086956521736
2500000.0;43.910064;56.340829;45.0;18.0;10.0;1;10;10;55555.555555555555
4990000.0;43.850479;56.250917;80.0;55.0;9.0;4;1;9;62375.0
2937580.0;43.98268168;56.25901857;41.99;18.28;9.06;1;16;17;69959.0378661586
1950000.0;43.8745;56.330033;34.0;17.0;12.0;1;8;9;57352.94117647059
2949999.0;43.833447;56.242824;66.0;48.0;7.2;3;3;3;44696.954545454544
3950000.0;43.944434;56.282835;70.5;43.0;9.5;3;9;9;56028.36879432624
3100000.0;43.924357;56.343014;53.0;30.3;9.2;2;3;9;58490.56603773585
4500000.0;44.007289;56.317462;60.0;40.0;7.0;3;5;9;75000.0
3890000.0;43.928444;56.326433;60.0;38.0;8.0;3;3;10;64833.333333333336
1750000.0;43.952384;56.229321;30.0;18.0;5.4;1;8;9;58333.333333333336
2450000.0;43.951989;56.223306;32.0;16.0;6.0;1;10;10;76562.5
2100000.0;43.878506;56.317457;36.0;18.0;9.0;1;9;10;58333.333333333336
1900000.0;43.971383;56.241469;32.0;20.0;6.0;1;2;5;59375.0
2400000.0;43.901611;56.263737;45.0;27.0;6.5;2;1;9;53333.333333333336
3550000.0;43.840687;56.305764;62.0;30.0;10.0;2;10;14;57258.06451612903
2600000.0;43.932774;56.288721;58.0;40.0;6.0;3;5;5;44827.58620689655
